Go.	Idź.
Come on, touch it.	No dalej, dotknij to.
Come on, trust me.	No dalej, zaufaj mi.
Cut me some slack.	Daj mi trochę luzu.
Deal us the cards.	Rozdaj nam karty.
Did Tom know that?	Czy Tom o tym wiedział?
Did they say when?	Powiedzieli kiedy?
Did you mean this?	Czy miałeś to na myśli?
Did you phone Tom?	Dzwoniłeś do Toma?
Did you read this?	Przeczytałeś to?
Did you shoot Tom?	Czy postrzeliłeś Toma?
Did you shoot Tom?	Czy postrzeliłaś Toma?
Didn't I warn you?	Nie ostrzegałem cię?
Didn't I warn you?	Nie ostrzegałam cię?
Do it by yourself.	Zrób to sam!
Do you have a car?	Czy masz samochód?
Do you have a dog?	Czy ma pan psa?
Do you have a pen?	Czy masz długopis?
Do you have a pet?	Masz jakieś zwierzę?
Do you have a pet?	Czy masz zwierzątko domowe?
Do you have money?	Masz pieniądze?
Do you like music?	Podoba Ci się muzyka?
Do you like pizza?	Lubisz pizzę?
Do you like trips?	Lubisz wycieczki?
Do you like trips?	Lubisz podróże?
Do you love music?	Czy kochasz muzykę?
Do you see a rose?	Widzisz różę?
Do you sell fruit?	Czy sprzedaje pan owoce?
Do you still care?	Wciąż się tym przejmujesz?
Do you understand?	Rozumiesz?
Do you understand?	Rozumiecie?
Do you want money?	Chcesz pieniędzy?
Do you want to go?	Chcesz iść?
Do you want to go?	Czy chcesz pójść?
Do you want to go?	Czy chcesz iść?
Does Tom know why?	Czy Tom wie dlaczego?
Does she know you?	Czy ona cię zna?
Dogs are faithful.	Psy są wierne.
Don't be so naive.	Nie bądź taki naiwny.
Don't give up now.	Nie poddawaj się.
Don't give up now.	Nie rezygnuj.
Don't hurt anyone.	Nie rań nikogo.
Don't tell anyone.	Nie mów nikomu.
Don't tell my mom.	Nie mów mojej mamie.
Don't touch these.	Tych nie dotykaj.
Don't wait for me.	Nie czekaj na mnie.
Don't wake him up.	Nie budź go.
Don't you go away.	Nie odchodź.
Don't you know me?	Nie znasz mnie?
Don't you miss me?	Nie tęsknisz za mną?
Every bus is full.	Każdy autobus jest zatłoczony.
Everybody laughed.	Wszyscy się śmiali.
Everybody said so.	Wszyscy tak mówili.
Everybody's tired.	Wszyscy są zmęczeni.
Everyone got sick.	Wszyscy zachorowali.
Everyone screamed.	Wszyscy krzyczeli.
Everyone's eating.	Wszyscy jedzą.
Everyone's eating.	Wszyscy są w trakcie jedzenia.
Exercise outdoors.	Ćwicz poza domem.
Exercise outdoors.	Rób ćwiczenia na zewnątrz.
Fish is expensive.	Ryby są drogie.
Frogs eat insects.	Żaby jedzą owady.
Give Tom his keys.	Daj Tomowi swoje klucze.
Give her the book.	Daj jej książkę.
Give me some beer.	Daj mi trochę piwa.
Give me some more.	Daj mi jeszcze trochę.
Give me your hand.	Daj mi rękę.
Go water the lawn.	Idź podlać trawnik.
Happy anniversary!	Wszystkiego dobrego z okazji rocznicy!
Haste makes waste.	Gdy się człowiek spieszy, to się diabeł cieszy.
Have they escaped?	Uciekli?
He asked for food.	Poprosił o jedzenie.
He began to shout.	Zaczął krzyczeć.
He blackmailed me.	Szantażował mnie.
He called my name.	Wywołał moje imię.
He can be trusted.	Można mu zaufać.
He can't help you.	On ci nie pomoże.
He could not swim.	Nie mógł pływać
He did not listen.	Nie słuchał.
He died of cancer.	Umarł na raka.
He died yesterday.	Zmarł wczoraj.
He died yesterday.	Wczoraj zmarł.
He does not smoke.	On nie pali.
He dropped a vase.	Upuścił wazon.
He gave her a box.	Dał jej pudełko.
He got tired soon.	Szybko się zmęczył.
He has a headache.	On ma bóle głowy.
He has a headache.	Boli go głowa.
He has no remorse.	On nie ma żadnych wyrzutów sumienia.
He helped me move.	Pomógł mi się ruszyć.
He helped me move.	Pomógł mi w przeprowadzce.
He is from France.	On jest z Francji.
He is still angry.	Wciąż jest wściekły.
He is teaching me.	On mnie uczy.
He isn't here now.	Nie ma go teraz.
He isn't here yet.	Jeszcze go tutaj nie ma.
He kept it secret.	Zatrzymał to w tajemnicy.
He knows too much.	Wie za dużo.
He lay on the bed.	On leży na łóżku
He left the house.	Wyszedł z domu.
He likes my jokes.	Lubi moje żarty.
He likes my jokes.	Lubi moje dowcipy.
He lives in Kyoto.	On mieszka w Kioto.
He sat next to me.	Usiadł obok mnie.
He sat on the bed.	Usiadł na łóżku.
He stole my heart.	On skradł moje serce.
He struck a match.	Zapalił zapałkę.
He studied abroad.	Studiował za granicą.
He talks too fast.	On mówi za szybko.
He teaches Arabic.	On uczy arabskiego.
He told the truth.	Powiedział prawdę.
He twisted my arm.	Zmusił mnie.
He twisted my arm.	Wykręcił mi rękę.
He violated a law.	Naruszył prawo.
He was very happy.	Był niezmiernie szczęśliwy.
He went back home.	On wrócił do domu.
He will come soon.	On niedługo przyjdzie.
He wrote a letter.	On napisał list.
He's a big coward.	Jest strasznym tchórzem.
He's already left.	On już wyszedł.
He's just arrived.	Właśnie przybył.
He's not an idiot.	On nie jest idiotą.
He's now studying.	On teraz uczy się.
He's on the train.	Siedzi w pociągu.
He's on the train.	Jest w pociągu.
He's on the train.	On siedzi w pociągu.
He's on the train.	On jest w pociągu.
Here is your book.	Tu jest twoja książka.
Here's some water.	Oto trochę wody.
Hey, look at this.	Hej, spójrz na to.
Hey, thanks a lot.	Hej, wielkie dzięki.
Hi Tom, what's up?	Cześć Tom, jak się masz?
How are you doing?	Jak się masz?
How complex is it?	Jak bardzo jest to skomplikowane?
How could that be?	Jak to się mogło stać?
How did they know?	Skąd wiedzieli?
How did you do it?	Jak to zrobiłeś?
How do they do it?	Jak oni to robią?
How lucky you are!	Ależ z ciebie szczęściarz!
How much are they?	Ile one kosztują?
How much are they?	Ile kosztują?
How was your trip?	Jak tam wycieczka?
How's your father?	Jak się ma twój ojciec?
I acted foolishly.	Zachowałem się głupio.
I agreed with her.	Zgodziłem się z nią.
I already checked.	Już sprawdziłem.
I already checked.	Już sprawdziłam.
I already ordered.	Ja już zamówiłem.
I already ordered.	Ja już zamówiłam.
I also like cakes.	Również lubię ciastka.
I also like cakes.	Ja również lubię ciastka.
I also like candy.	Też lubię słodycze.
I also went there.	Ja tam też poszłam.
I also went there.	Ja tam też poszedłem.
I am 18 years old.	Mam 18 lat.
I am afraid to go.	Boję się iść.
I am almost ready.	Jestem prawie gotowy.
I am already late.	Już jestem spóźniony.
I am going to bed.	Idę do łóżka.
I am in the house.	Jestem w domu.
I am in your debt.	Jestem Twoim dłużnikiem.
I am the same age.	Jestem w tym samym wieku.
I arrived in time.	Przyjechałem o czasie.
I arrived on time.	Przyjechałem na czas.
I asked for money.	Poprosiłem o pieniądze.
I ate some cheese.	Zjadłem trochę sera.
I can eat insects.	Umiem jeść owady.
I can play tennis.	Umiem grać w tenisa.
I can run as fast.	Umiem biegać tak szybko.
I can't marry you.	Nie mogę cię poślubić.
I can't marry you.	Nie mogę za Ciebie wyjść.
I can't stand him.	Nie mogę go znieść.
I can't swim well.	Nie umiem dobrze pływać.
I cannot stop him.	Nie mogę go powstrzymać.
I checked my bags.	Zarejestrowałem swój bagaż.
I come here often.	Często tu przychodzę.
I consented to go.	Zgodziłem się pójść.
I couldn't refuse.	Nie mogłem odmówić.
I didn't break it.	Ja tego nie stłukłem.
I didn't need you.	Nie byłeś mi potrzebny.
I don't accept it.	Nie akceptuję tego.
I don't blame you.	Nie winię ciebie.
I don't blame you.	Nie winię was.
I don't feel good.	Niedobrze mi.
I don't feel well.	Nie czuję się dobrze.
I don't have kids.	Nie mam dzieci.
I don't know them.	Nie znam ich.
I don't like cops.	Nie lubię psów.
I don't like eggs.	Nie lubię jajek.
I don't like eggs.	Nie lubię jaj.
I don't like snow.	Nie lubię śniegu.
I don't like wine.	Nie lubię wina.
I don't need luck.	Nie potrzebuję szczęścia.
I don't trust you.	Nie ufam ci.
I don't want meat.	Nie chcę mięsa.
I forgot my money.	Zapomniałem moich pieniędzy.
I found Tom there.	Znalazłem tam Toma.
I found him a job.	Znalazłem mu pracę.
I gave Tom a ride.	Podwiozłem Toma.
I got a bee sting.	Pszczoła mnie użądliła.
I had a nightmare.	Miałem koszmar.
I hate mosquitoes.	Nienawidzę komarów.
I hate that color.	Nienawidzę tego koloru.
I have a headache.	Boli mnie głowa.
I have a headache.	Głowa mnie boli.
I have a migraine.	Mam migrenę.
I have a question.	Mam pytanie.
I have an opinion.	Mam swoje zdanie.
I have brown hair.	Mam kasztanowe włosy.
I have everything.	Mam wszystko.
I have my reasons.	Mam swoje powody.
I have no comment.	Bez komentarza.
I have one sister.	Mam jedną siostrę.
I have seen a UFO.	Widziałem UFO.
I have sunglasses.	Mam okulary przeciwsłoneczne.
I have to find it.	Muszę go znaleźć.
I have two nieces.	Mam dwie bratanice.
I have two nieces.	Mam dwie siostrzenice.
I hope she's safe.	Mam nadzieję, że jest bezpieczna.
I know the answer.	Znam odpowiedź.
I know what to do.	Wiem co robić.
I know who she is.	Wiem kim ona jest.
I like loud music.	Lubię głośną muzykę.
I like my friends.	Lubię moich przyjaciół.
I like rock music.	Lubię muzykę rockową.
I like short hair.	Lubię krótkie włosy.
I like that skirt.	Podoba mi się ta spódnica.
I like this color.	Podoba mi się ten kolor.
I like to eat out.	Lubię jeść na mieście.
I like your shirt.	Podoba mi się twoja koszula.
I liked this book.	Podobała mi się ta książka.
I lived in Boston.	Mieszkałem w Bostonie.
I locked the door.	Zamknąłem drzwi.
I love my new job.	Uwielbiam moją nową pracę.
I love my parents.	Kocham moich rodziców.
I love rock music.	Kocham muzykę rockową.
I love this video.	Uwielbiam to video.
I love your beard.	Kocham Twoją brodę.
I loved that show.	Uwielbiałem ten program.
I loved that show.	Uwielbiałam ten program.
I may not do that.	Możliwe, że tego nie zrobię.
I must've fainted.	Musiałam zemdleć.
I need Tom's help.	Potrzebuję pomocy Toma.
I need a keyboard.	Potrzebuję klawiatury.
I need a vacation!	Potrzebuję wakacji!
I need new gloves.	Potrzebuję nowych rękawiczek.
I need some sugar.	Potrzebuję trochę cukru.
I need to be here.	Muszę tu być.
I owe you a lunch.	Jestem ci winien lunch.
I owe you a lunch.	Jestem ci winna lunch.
I owe you a lunch.	Wiszę ci lunch.
I own that island.	Jestem właścicielką tej wyspy.
I play the violin.	Gram na skrzypcach.
I played football.	Grałem w piłkę nożną.
I really like him!	Naprawdę go lubię!
I really like you.	Naprawdę cię lubię.
I saw an airplane.	Widziałem samolot.
I saw him running.	Widziałem go biegnącego.
I saw the sunrise.	Widziałem wschód Słońca.
I see you're busy.	Widzę, że jesteś zajęty.
I see you're busy.	Widzę, że jesteś zajęta.
I sent her a doll.	Wysłałem jej lalkę.
I should be happy.	Powinienem być szczęśliwy.
I should be happy.	Powinnam być szczęśliwa.
I should head out.	Muszę ruszać.
I should head out.	Czas na mnie.
I stood up slowly.	Wstałem powoli.
I stopped digging.	Przestałem kopać.
I stopped talking.	Przestałem mówić.
I stopped the car.	Zatrzymałem samochód.
I sure am thirsty.	Strasznie chce mi się pić.
I swept the floor.	Zamiotłem podłogę.
I tend to be lazy.	Bywam leniwy.
I think I'm right.	Myślę, że mam rację.
I think I'm smart.	Myślę, że jestem mądry.
I think otherwise.	Myślę inaczej.
I thought so, too.	Też tak myślałam.
I took Highway 58.	Pojechałem autostradą numer 58.
I tried to escape.	Próbowałem uciec.
I tried to forget.	Próbowałem zapomnieć.
I want some money.	Chcę trochę pieniędzy.
I want to believe.	Chciałbym wierzyć.
I want to come in.	Chcę wejść do środka.
I want to go home.	Chcę iść do domu.
I want to see him.	Chcę go zobaczyć.
I want to see you.	Chciałbym cię zobaczyć.
I was embarrassed.	Byłem zażenowany.
I was in the bath.	Byłem w wannie.
I wasn't sleeping.	Nie spałem.
I wasn't thinking.	Nie myślałem.
I wish I could go.	Chciałbym móc pójść.
I won't judge you.	Nie będę cię osądzał.
I won't leave you.	Nie opuszczę cię.
I won't marry you.	Nie poślubię cię.
I won't marry you.	Nie ożenię się z tobą.
I won't marry you.	Nie wyjdę za ciebie.
I won't need luck.	Nie będę potrzebował szczęścia.
I won't need them.	Nie będę ich potrzebować.
I won't permit it.	Nie pozwolę na to.
I won't sign this.	Nie podpiszę tego.
I'd probably lose.	Prawdopodobnie bym przegrał.
I'll be back soon.	Niedługo wrócę.
I'll be on my way.	Będę się już zbierać.
I'll be over here.	Będę tutaj.
I'll be right out.	Już wychodzę.
I'll bet it hurts.	Założę się, że to boli.
I'll find someone.	Znajdę kogoś.
I'll go to Boston.	Pojadę do Bostonu.
I'll let you know.	Dam ci znać.
I'll pay the bill.	Zapłacę rachunek.
I'll see you soon.	Do zobaczenia wkrótce.
I'll send it back.	Odeślę to.
I'll set you free.	Uwolnię Cię.
I'll tell someone.	Powiem komuś.
I'll wait for you.	Poczekam na ciebie.
I'll write to Tom.	Napiszę do Toma.
I'm Tom's brother.	Jestem bratem Toma.
I'm a grandfather.	Jestem dziadkiem.
I'm always hungry.	Zawsze jestem głodny.
I'm always hungry.	Jestem wiecznie głodny.
I'm an accountant.	Jestem księgowym.
I'm being careful.	Uważam.
I'm being patient.	Jestem cierpliwy.
I'm done with you.	Skończyłem z tobą.
I'm glad Tom left.	Cieszę się, że Tom poszedł.
I'm glad you came.	Cieszę się, że przyszedłeś.
I'm going hunting.	Idę na polowanie.
I'm going to town.	Idę do miasta.
I'm going to wait.	Zaczekam.
I'm going to wait.	Poczekam.
I'm going to wait.	Zamierzam zaczekać.
I'm in Boston now.	Jestem teraz w Bostonie.
I'm in the toilet.	Jestem w toalecie.
I'm making coffee.	Robię kawę.
I'm much stronger.	Jestem dużo silniejszy.
I'm not a monster.	Nie jestem potworem.
I'm not a soldier.	Nie jestem żołnierzem.
I'm not a student.	Nie jestem studentem.
I'm not a student.	Nie jestem uczniem.
I'm not an expert.	Nie jestem ekspertem.
I'm not impressed.	Nie jestem pod wrażeniem.
I'm not in Boston.	Nie jestem w Bostonie.
I'm not ready yet.	Jeszcze nie jestem gotowy.
I'm proud of that.	Jestem z tego dumny.
I'm sore all over.	Wszystko mnie boli.
I'm sore all over.	Jestem cały obolały.
I'm very cautious.	Jestem bardzo ostrożny.
I'm your neighbor.	Jestem twoim sąsiadem.
I've done my best.	Zrobiłem co mogłem.
I've done nothing.	Nic nie zrobiłem.
I've got the keys.	Mam klucze.
I've just arrived.	Właśnie przyjechałem.
I've lost my keys.	Zgubiłem swoje klucze.
I've lost my keys.	Zgubiłam moje klucze.
I've never smoked.	Nigdy nie paliłam.
I've never smoked.	Nigdy nie paliłem.
I've noticed that.	Zauważyłem to.
I've noticed that.	Zauważyłam to.
Is Tom still here?	Czy Tom nadal tu jest?
Is Tom still sick?	Czy Tom dalej jest chory?
Is Tom there, too?	Czy Tom też tam jest?
Is anything wrong?	Coś jest źle?
Is he kind to you?	Jest dla ciebie miły?
Is her story true?	Czy jej historia jest prawdziwa?
Is it hot outside?	Jest gorąco na zewnątrz?
Is it really fair?	Czy to jest naprawdę w porządku?
Is it really fair?	Czy to aby na pewno sprawiedliwe?
Is it still there?	Czy dalej tam jest?
Is that important?	Czy to jest ważne?
Is that pure gold?	Czy to czyste złoto?
Is that true, Tom?	Czy to prawda, Tom?
Is that your room?	Czy to twój pokój?
Is that your wife?	Czy to twoja żona?
Is the coffee hot?	Czy kawa jest gorąca?
Is this your bike?	Czy to twój rower?
Is this your book?	Czy to twoja książka?
Is your car black?	Czy twój samochód jest czarny?
Isn't that theirs?	Czy to nie ich?
It costs too much.	To za dużo kosztuje.
It costs too much.	To jest za drogie.
It depends on you.	To zależy od ciebie.
It didn't go well.	Nie poszło dobrze.
It doesn't matter.	Nieważne.
It had to be done.	To trzeba było zrobić.
It has to be true.	To musi być prawda.
It is not a watch.	To nie zegarek.
It is not my name.	To nie jest moje imię.
It is not raining.	Nie pada.
It is windy today.	Jest dziś wietrznie.
It looks familiar.	Wygląda podobnie.
It looks hopeless.	Wygląda beznadziejnie.
It makes no sense.	To nie ma sensu.
It rained nonstop.	Padało bez przerwy.
It was a disgrace.	To była hańba.
It was a new book.	To była nowa książka.
It was a surprise.	To była niespodzianka.
It was a warm day.	To był ciepły dzień.
It was a warm day.	Dzień był ciepły.
It was just water.	To była tylko woda.
It was our secret.	To był nasz sekret.
It was very foggy.	Była gęsta mgła.
It was very funny.	To było bardzo śmieszne.
It was very quiet.	To było bardzo ciche.
It wasn't my idea.	To nie był mój pomysł.
It'll happen soon.	To się niedługo stanie.
It's a dictionary.	To słownik.
It's a good start.	To dobry początek.
It's already late.	Późno już.
It's cloudy today.	Dzisiaj jest pochmurno.
It's cold outside.	Na zewnątrz jest zimno.
It's easy for you.	To jest dla ciebie proste.
It's getting dark.	Robi się ciemno.
It's just a dream.	To tylko sen.
It's just a guess.	To tylko przypuszczenie.
It's my brother's.	To jest mojego brata.
It's not my fault.	To nie moja wina.
It's not over yet.	To jeszcze nie koniec.
It's questionable.	To jest dyskusyjne.
It's really windy.	Jest bardzo wietrznie.
It's starting now.	Właśnie się zaczyna.
It's the last one.	To jest ostatni.
It's time to talk.	Czas porozmawiać.
It's too far away.	To za daleko.
It's too late now.	Teraz jest już za późno.
It's unbelievable.	To niewiarygodne.
It's your bedtime.	Czas żebyś poszedł spać.
Just tell them no.	Po prostu powiedz im "nie".
Keep away from me.	Trzymaj się z dala ode mnie.
Let Tom stay here.	Pozwól Tomowi tu zostać.
Let's do it again.	Zróbmy to jeszcze raz.
Let's do it again.	Powtórzmy to.
Let's get started.	Zaczynajmy.
Let's go that way.	Chodźmy tamtędy.
Let's leave early.	Wyjdźmy wcześniej.
Let's take a look.	Spójrzmy.
Let's take a taxi.	Weźmy taksówkę.
Let's talk to Tom.	Porozmawiajmy z Tom'em.
Life is beautiful.	Życie jest piękne.
Light the candles.	Zapal świece.
Look at the clock.	Spójrz na zegarek.
Look at the stars.	Popatrz na gwiazdy.
Look at this mess.	Popatrz na ten bałagan.
Look for yourself.	Szukaj siebie.
Look into my eyes.	Patrz mi w oczy.
Love will prevail.	Miłość zwycięży wszystko.
Make up your mind.	Zdecyduj się.
May I go with you?	Mogę iść z Tobą?
May I put it here?	Mogę położyć to tutaj?
May I take a rest?	Mogę odpocząć?
Most people agree.	Większość ludzi się zgadza.
My bag was stolen.	Moja torba została ukradziona.
My dogs are white.	Moje psy są białe.
My eyes are itchy.	Oczy mnie swędzą.
My eyes are itchy.	Swędzą mnie oczy.
My eyes are tired.	Oczy mi się zmęczyły.
My father is busy.	Mój ojciec jest zajęty.
My father is here.	Mój ojciec tu jest.
My father is tall.	Mój ojciec jest wysoki.
My horse is white.	Mój koń jest biały.
My knife is sharp.	Mój nóż jest ostry.
My room is a mess.	Mam w pokoju niezły burdel.
My shoulder hurts.	Boli mnie ramię.
My stomach's full.	Mój żołądek jest pełny.
No music, no life.	Nie ma muzyki, nie ma życia.
No one is missing.	Nikogo nie brakuje.
No one is missing.	Nikt nie zaginął.
No problem at all!	Nie ma problemu!
No problem at all!	W ogóle nie ma problemu.
No, I didn't help.	Nie, nie pomogłem.
Nobody is perfect.	Nikt nie jest doskonały.
Nobody volunteers.	Nikt nie zgłasza się na ochotnika.
Now wait a minute.	Teraz poczekaj chwilę.
On Sundays I rest.	W niedziele odpoczywam.
Opposites attract.	Przeciwieństwa się przyciągają.
Peaches are sweet.	Brzoskwinie są słodkie.
Please be careful.	Proszę, bądź ostrożny.
Please forgive me.	Wybacz, proszę.
Please keep quiet.	Bądźże cicho!
Please sign these.	Proszę podpisz to.
Please turn right.	Proszę skręcić w prawo.
Please wrap it up.	Zapakuj to, proszę.
Poets write poems.	Poeci piszą wiersze.
Pretend you're me.	Udawaj mnie.
Pretend you're me.	Udawaj, że jesteś mną.
Put your hands up.	Ręce do góry.
Shall we sit down?	Może usiądziemy?
She always smiles.	Ona się zawsze uśmiecha.
She ate one apple.	Zjadła jedno jabłko.
She cooks for him.	Ona gotuje dla niego.
She has long hair.	Ona ma długie włosy.
She heard him cry.	Usłyszała jak płacze.
She heard him cry.	Usłyszała jego płacz.
She is mad at you.	Jest na ciebie zła.
She isn't married.	Jest niezamężna.
She isn't running.	Ona nie biegnie.
She keeps secrets.	Ona dotrzymuje tajemnic.
She keeps secrets.	Ona zachowuje sekrety.
She knows my wife.	Ona zna moją żonę.
She left the room.	Wyszła z pokoju.
She likes oranges.	Ona lubi pomarańcze.
She likes to read.	Ona lubi czytać.
She looked lonely.	Wyglądała na samotną.
She loves singing.	Ona uwielbia śpiewanie.
She reads Chinese.	Ona czyta chiński.
She spoke rapidly.	Mówiła szybko.
She talks so much.	Ona mówi tak dużo.
She took her book.	Zabrała swoją książkę.
She went with him.	Ona z nim poszła.
She wept bitterly.	Gorzko płakała.
She's a night owl.	Ona jest nocnym markiem.
She's fashionable.	Ona jest modna.
She's hyperactive.	Jest nadpobudliwa.
She's not a child.	Ona nie jest dzieckiem.
She's turning red.	Czerwieni się.
She's turning red.	Robi się czerwona.
She's unconscious.	Jest nieprzytomna.
Show me the money.	Pokaż mi pieniądze.
Sign here, please.	Proszę tu podpisać.
Sign the contract.	Podpisz kontrakt.
Solve the problem.	Rozwiąż problem.
Somebody answered.	Ktoś odpowiedział.
Somebody has died.	Ktoś umarł.
Somebody has died.	Ktoś zmarł.
Someone must lead.	Ktoś musi prowadzić.
Someone must lead.	Ktoś musi dowodzić.
Someone was there.	Ktoś tam był.
Someone's calling.	Ktoś dzwoni.
Someone's missing.	Kogoś brakuje.
Someone's outside.	Ktoś jest na zewnątrz.
Something changed.	Coś się zmieniło.
Something's wrong.	Coś jest nie tak.
Stand up and walk.	Wstań i idź.
Stay here with us.	Zostań z nami.
Stay in your room.	Zostań w swoim pokoju.
Stay with us, Tom.	Tom, zostań z nami.
Stop bothering me.	Przestań mi przeszkadzać.
Stop overreacting.	Przestań przesadzać.
Stop the car here.	Zatrzymaj tutaj samochód.
Take a wild guess.	Strzelaj
Take off your tie.	Zdejmij krawat.
Tell Tom to hurry.	Powiedz Tomowi, żeby się pospieszył.
Tell me the truth.	Powiedź mi prawdę.
Tell us something.	Opowiedz nam coś.
Tell us something.	Powiedz nam coś.
That is all right.	W porządku.
That is his house.	To jego dom.
That is your book.	To twoja książka.
That sounded good.	To brzmiało dobrze.
That was our home.	To był nasz dom.
That was the plan.	Taki był plan.
That won't happen.	To się nie zdarzy.
That'll be enough.	Wystarczy.
That's a pheasant.	To jest bażant.
That's all I know.	To wszystko co wiem.
That's all I need.	To wszystko, czego mi trzeba.
That's all I need.	To wszystko, czego potrzebuję.
That's all I want.	To wszystko, czego chcę.
That's impossible.	To jest niemożliwe.
That's my mistake.	To mój błąd.
That's my problem.	To mój problem.
That's my teacher.	To mój nauczyciel.
That's not so bad.	To nie jest takie złe.
That's only a toy.	To tylko zabawka.
That's our future.	To nasza przyszłość.
That's reasonable.	To jest sensowne.
That's reasonable.	To jest uzasadnione.
That's reasonable.	To jest rozsądne.
That's remarkable.	To jest niezwykłe.
That's remarkable.	To jest godne uwagi.
That's ridiculous.	To śmieszne.
That's the reason.	To jest powód.
That's too simple.	To zbyt proste.
The black dog ran.	Biegł czarny pies.
The box was empty.	Pudełko było puste.
The cat scared me.	Kot mnie przestraszył.
The clock is fast.	Ten zegar się spieszy.
The clock stopped.	Zegar się zatrzymał.
The dog was dying.	Pies był umierający.
The door was open.	Drzwi były otwarte.
The earth rotates.	Ziemia się obraca.
The fight is over.	Walka skończona.
The gate was open.	Brama była otwarta.
The horse is mine.	Koń jest mój.
The house is cold.	W domu jest zimno.
The knife is dull.	Nóż jest tępy.
The light went on.	Światło zapaliło się.
The man was dying.	Ten człowiek umierał.
The meeting ended.	Spotkanie się skończyło.
The pain has gone.	Ból minął.
The pizza is cold.	Ta pizza jest zimna.
The price is good.	To dobra cena.
The price is good.	Cena jest dobra.
The river is wide.	Ta rzeka jest szeroka.
The room is empty.	Pokój jest pusty.
The room was dark.	Pokój był ciemny.
The soup is thick.	Ta zupa jest gęsta.
The water is good.	Ta woda jest dobra.
The worst is over.	Najgorsze już minęło.
There is one less.	Jest o jeden mniej.
There's no answer.	Nie ma odpowiedzi.
These are animals.	To są zwierzęta.
These are genuine.	Te są autentyczne.
These are my boys.	To są moi chłopcy.
They all knew Tom.	Oni wszyscy znali Toma.
They all knew you.	Wszyscy cię znają.
They already knew.	Oni już wiedzieli.
They already know.	Oni już wiedzą.
They already left.	Oni już poszli.
They already left.	One już poszły.
They are all dead.	Wszyscy nie żyją.
They are very big.	One są bardzo duże.
They are very big.	Oni są bardzo duzi.
They both grinned.	Oboje szeroko się uśmiechnęli.
They both relaxed.	Oboje się zrelaksowali.
They didn't budge.	Nie drgnęli.
They kidnapped me.	Porwali mnie.
They said it's OK.	Powiedziały, że to w porządku.
They said it's OK.	Powiedzieli, że to w porządku.
They were amazing.	Byli wspaniali.
They were in love.	Byli zakochani.
They were panting.	Mieli zadyszkę.
They were panting.	Nie mogli złapać tchu.
They were panting.	Ciężko oddychali.
They'll negotiate.	Będą negocjować.
They're Canadians.	Są Kanadyjczykami.
They're just lazy.	Oni są po prostu leniwi.
They're just lazy.	Oni są zwyczajnie leniwi.
They're not ready.	Nie są gotowi.
They're very good.	Są bardzo dobre.
This almost works.	To prawie działa.
This bed is heavy.	To łóżko jest ciężkie.
This book is mine.	To moja książka.
This book will do.	Ta książka wystarczy.
This desk is good.	To biurko jest dobre.
This desk is mine.	To biurko jest moje.
This egg is fresh.	To jajko jest świeże.
This game is easy.	Ta gra jest prosta.
This is Tom's car.	To jest samochód Toma.
This is a coconut.	To jest kokos.
This is a miracle.	To jest cud.
This is a picture.	To jest obraz.
This is a picture.	To jest rysunek.
This is difficult.	To jest trudne.
This is her house.	To jej dom.
This is his house.	To jego dom.
This is incorrect.	To jest niepoprawne.
This is my family.	To jest moja rodzina.
This is my friend.	To mój przyjaciel.
This is our fault.	To jest nasza wina.
This is our house.	To jest nasz dom.
This is shorthand.	To stenografia.
This is too short.	To jest za krótkie.
This is too small.	To za małe.
This is your book.	To twoja książka.
This isn't French.	To nie jest po francusku.
This isn't a trap.	To nie jest pułapka.
This isn't for me.	To nie dla mnie.
This isn't my bag.	To nie jest moja torba.
This isn't my car.	To nie jest mój samochód.
This isn't normal.	To nie jest normalne.
This may help you.	To może Ci pomóc.
This must be done.	To musi być zrobione.
This one is on me.	Ten jest mój.
This room is cold.	Ten pokój jest zimny.
This was my fault.	To była moja wina.
Today is Saturday.	Dzisiaj jest sobota.
Today is Thursday.	Dzisiaj jest czwartek.
Today is my treat.	Dzisiaj ja stawiam.
Tom already knows.	Tom już wie.
Tom began to talk.	Tom zaczął mówić.
Tom broke his arm.	Tom złamał rękę.
Tom can't do that.	Tom nie może tego zrobić.
Tom can't hurt me.	Tom nie może mnie skrzywdzić.
Tom can't hurt me.	Tom nie może mnie zranić.
Tom can't hurt me.	Tom nic mi nie może zrobić.
Tom can't see you.	Tom ciebie nie widzi.
Tom changed color.	Tom zmienił kolor
Tom couldn't talk.	Tom nie mógł rozmawiać.
Tom did it for me.	Tom zrobił to dla mnie.
Tom didn't see it.	Tom tego nie widział.
Tom does like you.	Tom cię lubi.
Tom drives a Ford.	Tom prowadzi Forda.
Tom drove the car.	Tom prowadził samochód.
Tom eats too much.	Tom zbyt dużo je.
Tom gave a speech.	Tom wygłosił przemówienie.
Tom gladly agreed.	Tom chętnie się zgodził.
Tom got sunburned.	Tom spiekł się na słońcu.
Tom got sunburned.	Tom spalił się na słońcu.
Tom got sunburned.	Tom doznał poparzeń słonecznych.
Tom has a rowboat.	Tom ma łódkę.
Tom has confessed.	Tom się przyznał.
Tom has long hair.	Tom ma długie włosy.
Tom heard a noise.	Tom usłyszał hałas.
Tom helped us all.	Tom pomógł nam wszystkim.
Tom insulted Mary.	Tom obraził Mary.
Tom is a designer.	Tom jest projektantem.
Tom is a designer.	Tom jest designerem.
